Year,Position,Album,Artist,RoviAlbumID
2014,123,THE BLESSED UNREST,Sara Bareilles,
2014,124,DISNEY KARAOKE SERIES: FROZEN (EP),Various Artists,
2014,125,BABEL,Mumford & Sons,
2014,126,STORYLINE,Hunter Hayes,
2014,127,SEX AND LOVE,Enrique Iglesias,
2014,128,SUNDOWN HEAVEN TOWN,Tim McGraw,
2014,129,LOVED ME BACK TO LIFE,Celine Dion,
2014,130,BLURRED LINES,Robin Thicke,
2014,131,1000 FORMS OF FEAR,Sia,
2014,132,OUT AMONG THE STARS,Johnny Cash,
2014,133,747,Lady Antebellum,
2014,134,THAT GIRL,Jennifer Nettles,
2014,135,PARAMORE,Paramore,
2014,136,PROMISE TO LOVE: ALBUM IV,Kem,
2014,137,HOZIER,Hozier,
2014,138,MY OWN LANE,Kid Ink,
2014,139,GOLDEN,Lady Antebellum,
2014,140,REFLEKTOR,Arcade Fire,
2014,141,THE 1975,The 1975,
2014,142,THE 20/20 EXPERIENCE,Justin Timberlake,
2014,143,YES!,Jason Mraz,
2014,144,1000HP,Godsmack,
2014,145,WELCOME TO THE NEW,MercyMe,
2014,146,LOADED: THE BEST OF BLAKE SHELTON,Blake Shelton,
2014,147,LIFT YOUR SPIRIT,Aloe Blacc,
2014,148,SOULED OUT,Jhene Aiko,
2014,149,PAPERWORK,T.I.,
2014,150,LOVE AND WAR,Tamar Braxton,
2014,151,THE BEST OF NICKELBACK: VOLUME 1,Nickelback,
2014,152,MAN AGAINST MACHINE,Garth Brooks,
2014,153,MELODY ROAD,Neil Diamond,
2014,154,HUNTER HAYES,Hunter Hayes,
2014,155,HONEST,Future,
2014,156,SHINE ON,Sarah McLachlan,
2014,157,RIVERS IN THE WASTELAND,NEEDTOBREATHE,
2014,158,[HYBRID THEORY],Linkin Park,
2014,159,THESE THINGS HAPPEN,G-Eazy,
2014,160,IT GOES LIKE THIS,Thomas Rhett,
2014,161,IS THERE ANYBODY OUT THERE?,A Great Big World,
2014,162,A FAMILY CHRISTMAS,The Piano Guys,
2014,163,IGNITE THE NIGHT,Chase Rice,
2014,164,SPRING BREAK 6 ...LIKE WE AIN'T EVER (EP),Luke Bryan,
2014,165,HALCYON,Ellie Goulding,
2014,166,LED ZEPPELIN,Led Zeppelin,
2014,167,MODERN VAMPIRES OF THE CITY,Vampire Weekend,
2014,168,THIS IS ALL YOURS,alt-J,
2014,169,DAYS ARE GONE,HAIM,
2014,170,SEE YOU TONIGHT,Scotty McCreery,
2014,171,I LOVE YOU.,The Neighbourhood,
2014,172,FOREVERLY,Billie Joe + Norah,
2014,173,TITLE (EP),Meghan Trainor,
2014,174,RIDE OUT,Bob Seger,
2014,175,NOEL,Josh Groban,
2014,176,OFF THE BEATEN PATH,Justin Moore,
2014,177,TOO WEIRD TO LIVE, TOO RARE TO DIE!,Panic! At The Disco,
2014,178,RECESS,Skrillex,
2014,179,UNCAGED,Zac Brown Band,
2014,180,MOONSHINE IN THE TRUNK,Brad Paisley,
2014,181,GOING TO HELL,The Pretty Reckless,
2014,182,A CHARLIE BROWN CHRISTMAS (SOUNDTRACK),Vince Guaraldi Trio,
2014,183,INSIDE LLEWYN DAVIS,Soundtrack,
2014,184,MONTEVALLO,Sam Hunt,
2014,185,DANIELLE BRADBERY,Danielle Bradbery,
2014,186,THE WRONG SIDE OF HEAVEN...VOLUME 1,Five Finger Death Punch,
2014,187,ANIMAL AMBITION: AN UNTAMED DESIRE TO WIN,50 Cent,
2014,188,1,The Beatles,
2014,189,SUPERMODEL,Foster The People,
2014,190,DON'T KILL THE MAGIC,MAGIC!,
2014,191,LED ZEPPELIN II,Led Zeppelin,
2014,192,THE LUMINEERS,The Lumineers,
2014,193,RED RIVER BLUE,Blake Shelton,
2014,194,LIGHTNING BOLT,Pearl Jam,
2014,195,TRUE BELIEVERS,Darius Rucker,
2014,196,LA GARGOLA,Chevelle,
2014,197,THE SOUND OF MUSIC: MUSIC FROM THE NBC TELEVISION EVENT,Soundtrack,
2014,198,GOD'S NOT DEAD,newsboys,
2014,199,LIGHTS OUT,Ingrid Michaelson,
2014,200,Dark Side Of The Moon,Pink Floyd,
